# Every genome screened, one row per genome. 20,434 prokaryote genomes (one per named species)
# plus the 88 eukaryote genomes. ftp_path is the NCBI directory the protein file was taken from:
# <ftp_path>/<basename>_protein.faa.gz. The genome page is https://www.ncbi.nlm.nih.gov/datasets/genome/<accession>/
screen	genus	species	accession	organism_name	refseq_category	assembly_level	protein_coding_genes	ftp_path
survey (4+ species)	Janibacter	Janibacter terrae	GCF_039636765.1	Janibacter terrae	reference genome	Complete Genome	3478	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/636/765/GCF_039636765.1_ASM3963676v1
survey (4+ species)	Janibacter	Janibacter zhangyanbonis	GCF_050507325.1	Janibacter zhangyanbonis	reference genome	Complete Genome	3412	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/507/325/GCF_050507325.1_ASM5050732v1
survey (4+ species)	Janibacter	Janibacter zhaoxuefangae	GCF_050271985.1	Janibacter zhaoxuefangae	reference genome	Complete Genome	2559	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/271/985/GCF_050271985.1_ASM5027198v1
survey (4+ species)	Jannaschia	Jannaschia aquimarina	GCF_900188045.1	Jannaschia aquimarina	reference genome	Scaffold	4023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/188/045/GCF_900188045.1_IMG-taxon_2681813552_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia donghaensis	GCF_001403795.1	Jannaschia donghaensis	reference genome	Scaffold	3503	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/403/795/GCF_001403795.1_J.donghaensisCECT7802_Velvet_Prokka
survey (4+ species)	Jannaschia	Jannaschia faecimaris	GCF_900107415.1	Jannaschia faecimaris	reference genome	Contig	3728	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/415/GCF_900107415.1_IMG-taxon_2693429889_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia formosa	GCF_003340555.1	Jannaschia formosa	reference genome	Contig	4512	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/340/555/GCF_003340555.1_ASM334055v1
survey (4+ species)	Jannaschia	Jannaschia halovivens	GCF_046452375.1	Jannaschia halovivens	reference genome	Contig	3510	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/452/375/GCF_046452375.1_ASM4645237v1
survey (4+ species)	Jannaschia	Jannaschia helgolandensis	GCF_900109285.1	Jannaschia helgolandensis	reference genome	Scaffold	3498	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/285/GCF_900109285.1_IMG-taxon_2622736446_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia marina	GCF_013404595.1	Jannaschia marina	reference genome	Scaffold	3827	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/404/595/GCF_013404595.1_ASM1340459v1
survey (4+ species)	Jannaschia	Jannaschia maritima	GCF_030973515.1	Jannaschia maritima	reference genome	Contig	3632	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/973/515/GCF_030973515.1_ASM3097351v1
survey (4+ species)	Jannaschia	Jannaschia ovalis	GCF_029853695.1	Jannaschia ovalis	reference genome	Complete Genome	3320	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/853/695/GCF_029853695.1_ASM2985369v1
survey (4+ species)	Jannaschia	Jannaschia pagri	GCF_019655435.1	Jannaschia pagri	reference genome	Contig	3742	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/655/435/GCF_019655435.1_ASM1965543v1
survey (4+ species)	Jannaschia	Jannaschia pohangensis	GCF_900113875.1	Jannaschia pohangensis	reference genome	Contig	3764	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/875/GCF_900113875.1_IMG-taxon_2622736536_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia rubra	GCF_900113265.1	Jannaschia rubra	reference genome	Scaffold	3482	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/113/265/GCF_900113265.1_IMG-taxon_2622736430_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia seohaensis	GCF_900116765.1	Jannaschia seohaensis	reference genome	Contig	4535	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/765/GCF_900116765.1_IMG-taxon_2675903158_annotated_assembly
survey (4+ species)	Jannaschia	Jannaschia seosinensis	GCF_001408515.1	Jannaschia seosinensis	reference genome	Contig	3625	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/408/515/GCF_001408515.1_J.seosinensisCECT7799_CISA_Prokka
survey (4+ species)	Janthinobacterium	Janthinobacterium aestuarii	GCF_036885605.1	Janthinobacterium aestuarii	reference genome	Complete Genome	5526	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/885/605/GCF_036885605.1_ASM3688560v1
survey (4+ species)	Janthinobacterium	Janthinobacterium agaricidamnosum	GCF_000723165.1	Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628	reference genome	Complete Genome	5121	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/723/165/GCF_000723165.1_JAG1
survey (4+ species)	Janthinobacterium	Janthinobacterium algoris	GCF_051380935.1	Janthinobacterium algoris	reference genome	Scaffold	5661	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/935/GCF_051380935.1_ASM5138093v1
survey (4+ species)	Janthinobacterium	Janthinobacterium amylolyticum	GCF_051380655.1	Janthinobacterium amylolyticum	reference genome	Scaffold	5509	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/655/GCF_051380655.1_ASM5138065v1
survey (4+ species)	Janthinobacterium	Janthinobacterium aquaticum	GCF_009208565.1	Janthinobacterium aquaticum	reference genome	Contig	5009	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/208/565/GCF_009208565.1_ASM920856v1
survey (4+ species)	Janthinobacterium	Janthinobacterium breve	GCF_051380895.1	Janthinobacterium breve	reference genome	Scaffold	5684	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/895/GCF_051380895.1_ASM5138089v1
survey (4+ species)	Janthinobacterium	Janthinobacterium darwini	GCF_051380905.1	Janthinobacterium darwini	reference genome	Scaffold	5268	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/905/GCF_051380905.1_ASM5138090v1
survey (4+ species)	Janthinobacterium	Janthinobacterium fluminis	GCF_028595325.1	Janthinobacterium fluminis	reference genome	Contig	5008	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/595/325/GCF_028595325.1_ASM2859532v1
survey (4+ species)	Janthinobacterium	Janthinobacterium foliorum	GCF_978021625.1	Janthinobacterium foliorum	reference genome	Contig	5786	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/978/021/625/GCF_978021625.1_Du118
survey (4+ species)	Janthinobacterium	Janthinobacterium glycogeni	GCF_051380725.1	Janthinobacterium glycogeni	reference genome	Scaffold	5384	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/725/GCF_051380725.1_ASM5138072v1
survey (4+ species)	Janthinobacterium	Janthinobacterium goodfellowi	GCF_051380695.1	Janthinobacterium goodfellowi	reference genome	Scaffold	5560	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/695/GCF_051380695.1_ASM5138069v1
survey (4+ species)	Janthinobacterium	Janthinobacterium kochi	GCF_051380715.1	Janthinobacterium kochi	reference genome	Scaffold	5360	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/715/GCF_051380715.1_ASM5138071v1
survey (4+ species)	Janthinobacterium	Janthinobacterium kumbetense	GCF_023703445.1	Janthinobacterium kumbetense	reference genome	Contig	5487	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/703/445/GCF_023703445.1_ASM2370344v1
survey (4+ species)	Janthinobacterium	Janthinobacterium leeuwenhoeki	GCF_051380795.1	Janthinobacterium leeuwenhoeki	reference genome	Scaffold	4943	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/795/GCF_051380795.1_ASM5138079v1
survey (4+ species)	Janthinobacterium	Janthinobacterium lividum	GCF_013372045.1	Janthinobacterium lividum	reference genome	Complete Genome	5564	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/045/GCF_013372045.1_ASM1337204v1
survey (4+ species)	Janthinobacterium	Janthinobacterium longum	GCF_051380735.1	Janthinobacterium longum	reference genome	Scaffold	4815	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/735/GCF_051380735.1_ASM5138073v1
survey (4+ species)	Janthinobacterium	Janthinobacterium lyxosi	GCF_051380665.1	Janthinobacterium lyxosi	reference genome	Scaffold	5658	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/665/GCF_051380665.1_ASM5138066v1
survey (4+ species)	Janthinobacterium	Janthinobacterium pasteuri	GCF_051380775.1	Janthinobacterium pasteuri	reference genome	Scaffold	5048	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/775/GCF_051380775.1_ASM5138077v1
survey (4+ species)	Janthinobacterium	Janthinobacterium paucivorans	GCF_051380805.1	Janthinobacterium paucivorans	reference genome	Scaffold	4235	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/805/GCF_051380805.1_ASM5138080v1
survey (4+ species)	Janthinobacterium	Janthinobacterium psychrotolerans	GCF_001677885.1	Janthinobacterium psychrotolerans	reference genome	Contig	5227	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/885/GCF_001677885.1_ASM167788v1
survey (4+ species)	Janthinobacterium	Janthinobacterium rivuli	GCF_009208735.1	Janthinobacterium rivuli	reference genome	Contig	5690	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/208/735/GCF_009208735.1_ASM920873v1
survey (4+ species)	Janthinobacterium	Janthinobacterium saanense	GCF_014200675.1	Janthinobacterium saanense	reference genome	Scaffold	5410	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/200/675/GCF_014200675.1_ASM1420067v1
survey (4+ species)	Janthinobacterium	Janthinobacterium salmonicoloratum	GCF_051380845.1	Janthinobacterium salmonicoloratum	reference genome	Contig	5517	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/845/GCF_051380845.1_ASM5138084v1
survey (4+ species)	Janthinobacterium	Janthinobacterium silvisoli	GCF_014200695.1	Janthinobacterium silvisoli	reference genome	Scaffold	5199	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/200/695/GCF_014200695.1_ASM1420069v1
survey (4+ species)	Janthinobacterium	Janthinobacterium svalbardense	GCF_002327145.1	Janthinobacterium svalbardense	reference genome	Complete Genome	5494	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/327/145/GCF_002327145.1_ASM232714v1
survey (4+ species)	Janthinobacterium	Janthinobacterium tructae	GCF_006517255.1	Janthinobacterium tructae	reference genome	Complete Genome	5477	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/517/255/GCF_006517255.1_ASM651725v1
survey (4+ species)	Janthinobacterium	Janthinobacterium violaceinigrum	GCF_009208555.1	Janthinobacterium violaceinigrum	reference genome	Scaffold	5706	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/208/555/GCF_009208555.1_ASM920855v1
survey (4+ species)	Janthinobacterium	Janthinobacterium violaceum	GCF_051380835.1	Janthinobacterium violaceum	reference genome	Scaffold	5493	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/835/GCF_051380835.1_ASM5138083v1
survey (4+ species)	Janthinobacterium	Janthinobacterium woesei	GCF_051380875.1	Janthinobacterium woesei	reference genome	Contig	4977	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/380/875/GCF_051380875.1_ASM5138087v1
survey (4+ species)	Jatrophihabitans	Jatrophihabitans cynanchi	GCF_027247405.1	Jatrophihabitans cynanchi	reference genome	Complete Genome	4299	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/247/405/GCF_027247405.1_ASM2724740v1
survey (4+ species)	Jatrophihabitans	Jatrophihabitans endophyticus	GCF_900129455.1	Jatrophihabitans endophyticus	reference genome	Contig	4197	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/455/GCF_900129455.1_IMG-taxon_2695420949_annotated_assembly
survey (4+ species)	Jatrophihabitans	Jatrophihabitans fulvus	GCF_054781375.1	Jatrophihabitans fulvus	reference genome	Scaffold	4543	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/054/781/375/GCF_054781375.1_ASM5478137v1
survey (4+ species)	Jatrophihabitans	Jatrophihabitans lederbergiae	GCF_031845305.1	Jatrophihabitans lederbergiae	reference genome	Contig	4767	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/845/305/GCF_031845305.1_ASM3184530v1
survey (4+ species)	Jatrophihabitans	Jatrophihabitans telluris	GCF_023516435.1	Jatrophihabitans telluris	reference genome	Complete Genome	3800	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/516/435/GCF_023516435.1_ASM2351643v1
survey (4+ species)	Jeongeupia	Jeongeupia chitinilytica	GCF_014652315.1	Jeongeupia chitinilytica	reference genome	Contig	3774	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/652/315/GCF_014652315.1_ASM1465231v1
survey (4+ species)	Jeongeupia	Jeongeupia naejangsanensis	GCF_016865585.1	Jeongeupia naejangsanensis	reference genome	Contig	3742	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/865/585/GCF_016865585.1_ASM1686558v1
survey (4+ species)	Jeongeupia	Jeongeupia sacculi	GCF_015140455.1	Jeongeupia sacculi	reference genome	Complete Genome	3183	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/140/455/GCF_015140455.1_ASM1514045v1
survey (4+ species)	Jeongeupia	Jeongeupia wiesaeckerbachi	GCF_050916355.1	Jeongeupia wiesaeckerbachi	reference genome	Complete Genome	3590	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/916/355/GCF_050916355.1_ASM5091635v1
survey (4+ species)	Jeotgalibaca	Jeotgalibaca arthritidis	GCF_011100465.1	Jeotgalibaca arthritidis	reference genome	Complete Genome	2197	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/465/GCF_011100465.1_ASM1110046v1
survey (4+ species)	Jeotgalibaca	Jeotgalibaca caeni	GCF_028863945.1	Jeotgalibaca caeni	reference genome	Contig	2492	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/863/945/GCF_028863945.1_ASM2886394v1
survey (4+ species)	Jeotgalibaca	Jeotgalibaca ciconiae	GCF_003955755.1	Jeotgalibaca ciconiae	reference genome	Complete Genome	2629	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/955/755/GCF_003955755.1_ASM395575v1
survey (4+ species)	Jeotgalibaca	Jeotgalibaca dankookensis	GCF_002005405.1	Jeotgalibaca dankookensis	reference genome	Complete Genome	1981	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/405/GCF_002005405.1_ASM200540v1
survey (4+ species)	Jeotgalibaca	Jeotgalibaca porci	GCF_011299095.1	Jeotgalibaca porci	reference genome	Complete Genome	2232	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/299/095/GCF_011299095.1_ASM1129909v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus alimentarius	GCF_000829445.1	Jeotgalibacillus alimentarius	reference genome	Contig	3409	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/445/GCF_000829445.1_ASM82944v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus aurantiacus	GCF_020595125.1	Jeotgalibacillus aurantiacus	reference genome	Contig	3499	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/595/125/GCF_020595125.1_ASM2059512v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus campisalis	GCF_000829515.1	Jeotgalibacillus campisalis	reference genome	Contig	3528	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/515/GCF_000829515.1_ASM82951v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus haloalkalitolerans	GCF_034427455.1	Jeotgalibacillus haloalkalitolerans	reference genome	Contig	3257	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/427/455/GCF_034427455.1_ASM3442745v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus marinus	GCF_040801915.1	Jeotgalibacillus marinus	reference genome	Contig	3491	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/801/915/GCF_040801915.1_ASM4080191v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus proteolyticus	GCF_002926065.1	Jeotgalibacillus proteolyticus	reference genome	Contig	4167	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/065/GCF_002926065.1_ASM292606v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus salarius	GCF_004405125.1	Jeotgalibacillus salarius	reference genome	Scaffold	3411	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/405/125/GCF_004405125.1_ASM440512v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus soli	GCF_000829435.1	Jeotgalibacillus soli	reference genome	Contig	3659	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/435/GCF_000829435.1_ASM82943v1
survey (4+ species)	Jeotgalibacillus	Jeotgalibacillus terrae	GCF_016908195.1	Jeotgalibacillus terrae	reference genome	Contig	3760	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/908/195/GCF_016908195.1_ASM1690819v1
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus aerolatus	GCF_903994055.1	Jeotgalicoccus aerolatus	reference genome	Scaffold	2100	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/994/055/GCF_903994055.1_CIP111750
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus coquinae	GCF_903994065.1	Jeotgalicoccus coquinae	reference genome	Scaffold	2188	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/994/065/GCF_903994065.1_CIP111751
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus halotolerans	GCF_003387165.1	Jeotgalicoccus halotolerans	reference genome	Scaffold	2254	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/387/165/GCF_003387165.1_ASM338716v1
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus marinus	GCF_000425825.1	Jeotgalicoccus marinus DSM 19772	reference genome	Scaffold	2160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/825/GCF_000425825.1_ASM42582v1
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus meleagridis	GCF_903994045.1	Jeotgalicoccus meleagridis	reference genome	Scaffold	2071	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/994/045/GCF_903994045.1_CIP111649
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus psychrophilus	GCF_000425845.1	Jeotgalicoccus psychrophilus DSM 19085	reference genome	Scaffold	2368	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/845/GCF_000425845.1_ASM42584v1
survey (4+ species)	Jeotgalicoccus	Jeotgalicoccus saudimassiliensis	GCF_000756715.1	Jeotgalicoccus saudimassiliensis	reference genome	Complete Genome	2144	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/756/715/GCF_000756715.1_PRJEB5505_assembly_1
survey (4+ species)	Jiangella	Jiangella alba	GCF_900106035.1	Jiangella alba	reference genome	Contig	6905	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/035/GCF_900106035.1_IMG-taxon_2630968302_annotated_assembly
survey (4+ species)	Jiangella	Jiangella alkaliphila	GCF_900105925.1	Jiangella alkaliphila	reference genome	Chromosome	7043	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/925/GCF_900105925.1_IMG-taxon_2639762615_annotated_assembly
survey (4+ species)	Jiangella	Jiangella anatolica	GCF_003236295.1	Jiangella anatolica	reference genome	Contig	6556	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/236/295/GCF_003236295.1_ASM323629v1
survey (4+ species)	Jiangella	Jiangella asiatica	GCF_004349065.1	Jiangella asiatica	reference genome	Contig	6318	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/349/065/GCF_004349065.1_ASM434906v1
survey (4+ species)	Jiangella	Jiangella aurantiaca	GCF_004349105.1	Jiangella aurantiaca	reference genome	Contig	5939	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/349/105/GCF_004349105.1_ASM434910v1
survey (4+ species)	Jiangella	Jiangella endophytica	GCF_003427025.1	Jiangella endophytica	reference genome	Contig	7019	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/427/025/GCF_003427025.1_ASM342702v1
survey (4+ species)	Jiangella	Jiangella gansuensis	GCF_000515395.1	Jiangella gansuensis DSM 44835	reference genome	Scaffold	5103	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/395/GCF_000515395.1_ASM51539v1
survey (4+ species)	Jiangella	Jiangella mangrovi	GCF_014204975.1	Jiangella mangrovi	reference genome	Contig	6503	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/204/975/GCF_014204975.1_ASM1420497v1
survey (4+ species)	Jiangella	Jiangella muralis	GCF_001270745.1	Jiangella muralis	reference genome	Scaffold	6601	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/270/745/GCF_001270745.1_ASM127074v1
survey (4+ species)	Jiangella	Jiangella rhizosphaerae	GCF_003579925.1	Jiangella rhizosphaerae	reference genome	Scaffold	6025	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/579/925/GCF_003579925.1_ASM357992v1
survey (4+ species)	Jiangella	Jiangella ureilytica	GCF_004348545.1	Jiangella ureilytica	reference genome	Contig	5776	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/348/545/GCF_004348545.1_ASM434854v1
survey (4+ species)	Jiella	Jiella avicenniae	GCF_021390325.1	Jiella avicenniae	reference genome	Contig	4687	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/390/325/GCF_021390325.1_ASM2139032v1
survey (4+ species)	Jiella	Jiella endophytica	GCF_004519335.1	Jiella endophytica	reference genome	Contig	4775	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/519/335/GCF_004519335.1_ASM451933v1
survey (4+ species)	Jiella	Jiella flava	GCF_017349315.1	Jiella flava	reference genome	Contig	3651	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/349/315/GCF_017349315.1_ASM1734931v1
survey (4+ species)	Jiella	Jiella mangrovi	GCF_017815135.1	Jiella mangrovi	reference genome	Contig	4375	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/815/135/GCF_017815135.1_ASM1781513v1
survey (4+ species)	Jiella	Jiella marina	GCF_024359545.1	Jiella marina	reference genome	Contig	4656	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/359/545/GCF_024359545.1_ASM2435954v1
survey (4+ species)	Jiella	Jiella pacifica	GCF_010500815.1	Jiella pacifica	reference genome	Scaffold	5282	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/500/815/GCF_010500815.1_ASM1050081v1
survey (4+ species)	Jiella	Jiella pelagia	GCF_026898155.1	Jiella pelagia	reference genome	Complete Genome	4868	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/898/155/GCF_026898155.1_ASM2689815v1
survey (4+ species)	Jiella	Jiella soli	GCF_020615385.1	Jiella soli	reference genome	Scaffold	5045	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/615/385/GCF_020615385.1_ASM2061538v1
survey (4+ species)	Jiella	Jiella sonneratiae	GCF_017353515.1	Jiella sonneratiae	reference genome	Contig	4590	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/353/515/GCF_017353515.1_ASM1735351v1
survey (4+ species)	Kaistella	Kaistella antarctica	GCF_900637895.1	Kaistella antarctica	reference genome	Complete Genome	2815	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/895/GCF_900637895.1_52700_G01
survey (4+ species)	Kaistella	Kaistella carnis	GCF_003860585.1	Kaistella carnis	reference genome	Complete Genome	2928	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/860/585/GCF_003860585.1_ASM386058v1
survey (4+ species)	Kaistella	Kaistella chaponensis	GCF_900156725.1	Kaistella chaponensis	reference genome	Contig	2725	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/725/GCF_900156725.1_IMG-taxon_2681813521_annotated_assembly
survey (4+ species)	Kaistella	Kaistella daneshvariae	GCF_965137075.1	Kaistella daneshvariae	reference genome	Contig	2231	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/137/075/GCF_965137075.1_CIP111694T
survey (4+ species)	Kaistella	Kaistella faecalis	GCF_020985365.1	Kaistella faecalis	reference genome	Complete Genome	2445	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/985/365/GCF_020985365.1_ASM2098536v1
survey (4+ species)	Kaistella	Kaistella gelatinilytica	GCF_015679325.1	Kaistella gelatinilytica	reference genome	Contig	2888	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/679/325/GCF_015679325.1_ASM1567932v1
survey (4+ species)	Kaistella	Kaistella haifensis	GCF_000735695.2	Kaistella haifensis DSM 19056	reference genome	Contig	2666	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/735/695/GCF_000735695.2_ASM73569v2
survey (4+ species)	Kaistella	Kaistella jeonii	GCF_900638245.1	Kaistella jeonii	reference genome	Complete Genome	2994	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/245/GCF_900638245.1_56772_F02
survey (4+ species)	Kaistella	Kaistella montana	GCF_042684405.1	Kaistella montana	reference genome	Contig	2183	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/684/405/GCF_042684405.1_ASM4268440v1
survey (4+ species)	Kaistella	Kaistella palustris	GCF_000422265.1	Kaistella palustris DSM 21579	reference genome	Scaffold	2632	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/265/GCF_000422265.1_ASM42226v1
survey (4+ species)	Kaistella	Kaistella polysaccharea	GCF_020410745.1	Kaistella polysaccharea	reference genome	Complete Genome	2441	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/410/745/GCF_020410745.1_ASM2041074v1
survey (4+ species)	Kaistella	Kaistella pullorum	GCF_014837035.1	Kaistella pullorum	reference genome	Scaffold	2334	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/837/035/GCF_014837035.1_ASM1483703v1
survey (4+ species)	Kaistella	Kaistella rhinocerotis	GCF_030243905.1	Kaistella rhinocerotis	reference genome	Contig	2272	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/243/905/GCF_030243905.1_ASM3024390v1
survey (4+ species)	Kaistella	Kaistella soli	GCF_019038595.1	Kaistella soli	reference genome	Scaffold	2747	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/038/595/GCF_019038595.1_ASM1903859v1
survey (4+ species)	Kaistella	Kaistella solincola	GCF_000812875.1	Kaistella solincola	reference genome	Contig	2146	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/875/GCF_000812875.1_ASM81287v1
survey (4+ species)	Kaistella	Kaistella treverensis	GCF_900114045.1	Kaistella treverensis	reference genome	Contig	2171	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/045/GCF_900114045.1_IMG-taxon_2687453775_annotated_assembly
